lat,lon,description,address,url,town,county,name,batteries,metal,cardboard,paper,glass,plastic,fluorescent_bulbs,green_waste,cooking_oil,e_waste,automotive_fluids,tires,vehicles,waste_water,compost,cloth
48.308208,-114.341028,Landfill,"4098 US-93, Kalispell, MT 59901",http://flathead.mt.gov/waste/index.php,Kalispell,Flathead,Flathead County Solid Waste District,yes,yes,yes,yes,yes,yes,,yes,Cooking Oil,yes,yes,,yes,,,
48.095944,-114.184303,Drop-Off Site,"1199 MT-82, Somers, MT 59932",http://flathead.mt.gov/waste/index.php,Somers,Flathead,Flathead County Solid Waste District,,,yes,,,,,,,,,,yes,,,
45.709523,-111.187912,,"357 Recycle Way, Bozeman MT 59718",http://recyclemt.com/sites.php,Bozeman,Gallatin,Four Corners Recycling LLC,yes,yes,yes,yes,,yes,,,Cooking Oil,,,,,,,
45.751996,-111.302021,Manhattan Christian School,"8000 Churchill Rd, Manhattan MT 59741",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Amsterdam / Churchill,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.776246,-111.177095,,"W Madison Ave & Eileen Pl, Belgrade MT 59714",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Belgrade,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.25516,-111.253134,,"47280 Gallatin Rd, Big Sky MT",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Big Sky,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.676585,-111.106326,Billion Auto Group,"243 Automotive Ave, Bozeman MT 59718",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.714634,-111.021528,Bozeman Convenience Site,"2143 Story Mill Rd, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,yes,yes,yes,yes,,yes,,,,,,,,,,
45.672883,-111.00222,Gallatin Valley Motors,"31910 Frontage Rd, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.688595,-111.035846,Gallatin County Fairgrounds,"901 N Black Ave, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.674451,-111.013434,Highland Blvd Ballfields,"501 Haggerty Ln, Bozeman MT",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.69783,-111.06505,Home Depot,"1771 N 19th Ave, Bozeman MT 59718",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.676998,-111.042934,,"W College St & 13th Ave, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.680192,-111.060315,Safeway,"1735 W Main St, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.694542,-111.042127,Walmart,"1500 N 7th Ave, Bozeman MT 59715",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Bozeman,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.709523,-111.187912,,357 Recycle Way,https://gallatinsolidwaste.org/recycling/drop-off-bins/,Four Corners,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.591427,-111.200244,Gateway Community Center,"145 Mill St, Gallatin Gateway, MT 59730",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Gallatin Gateway,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.87577,-111.411126,Logan Landfill,"10585 2 Dog Rd, Three Forks MT 59752",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Logan,Gallatin,Gallatin Solid Waste Management District,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,,,,,
45.853366,-111.327227,Valley Improvement Center,"600 E Main St, Manhattan MT 59741",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Manhattan,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
45.891368,-111.555396,,"150 E Railroad Ave, Three Forks MT 59752",https://gallatinsolidwaste.org/recycling/drop-off-bins/,Three Forks,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
44.724998,-111.09933,W. Yellowstone Transfer Station,"263 Ecology Ln, West Yellowstone MT 59758",https://gallatinsolidwaste.org/recycling/drop-off-bins/,West Yellowstone,Gallatin,Gallatin Solid Waste Management District,,yes,yes,yes,,yes,,,,,,,,,,
48.779489,-104.569694,,"640 W Laurel Ave, Plentywood MT 59254",,Plentywood,Sheridan,Glenwood Inc.,,yes,,yes,,,,,,,,,,,,yes
46.667705,-113.133246,,"24 Sorenson Lane, Drummond, MT",http://co.granite.mt.us/solid-waste/,Drummond,Granite,Granite County Solid Waste  ,,yes,yes,yes,,,,yes,,,,,,,,
46.351533,-113.306885,,"74 Flint Creek Way, Philipsburg, MT",http://co.granite.mt.us/solid-waste/,Phillipsburg,Granite,Granite County Solid Waste  ,,yes,yes,yes,,,,,,,,,,,,
45.668827,-111.036088,Curbside Collection Subscription,"1009 S Black Ave, Bozeman MT 59715",http://happytrashcan.net/,Bozeman,Gallatin,Happy Trash Can,,,,,,,,,,,,,,,yes,
48.555128,-109.687927,,"235 First Street West, Havre MT",http://www.havredaycenter.com/,Havre,Hill,Havre Day Activity Center,,yes,yes,,,,,,,,,,,,,
46.576523,-112.021286,Curbside Collection,"1065 Strawberry Dr, Helena, MT 59601",http://www.helenarecycling.com/,Helena,Lewis & Clark,Helena Recycling,,yes,yes,yes,,yes,,,,,,,,,,
45.753043,-108.582572,,"2784 King Ave West, Billings MT",http://ecooptions.homedepot.com/healthy-home/recycling/,Billings,Yellowstone,Home Depot,yes,,,,,,CFLs Only,,,,,,,,,
45.69783,-111.06505,,"1771 N 19th Ave, Bozeman MT 59718",http://www.homedepot.com/l/Bozeman/MT/Bozeman/59718/3104,Bozeman,Gallatin,Home Depot,yes,,,,,,,,,,,,,,,
47.481558,-111.34091,,"1500 Market Place Dr, Great Falls MT",http://ecooptions.homedepot.com/healthy-home/recycling/,Great Falls,Cascade,Home Depot,yes,,,,,,CFLs Only,,,,,,,,,
46.889921,-114.043756,,"2725 Radio Way, Missoula MT",http://ecooptions.homedepot.com/healthy-home/recycling/,Missoula,Missoula,Home Depot,yes,,,,,,CFLs Only,,,,,,,,,
46.574395,-112.006262,,"1937 Virginia Dale, Helena MT",http://www.ierecycling.net/,Missoula,Missoula,i.e. Recycling,,,yes,yes,yes,yes,,yes,,yes,,,,,,
